# ============================================================
# CATÁLOGO DE PRODUCTOS — Lookaly
# ------------------------------------------------------------
# INSTRUCCIONES:
#   • Edita este archivo en Excel, Google Sheets o cualquier editor.
#   • Borra las líneas de ejemplo y escribe tus productos reales.
#   • Las líneas que comienzan con # son comentarios y se ignoran.
#
# COLUMNAS:
#   id          → Clave única corta. Ej: m01, p01, c01, n01
#                 Usa prefijos: m=maquillaje, p=piel, c=cuerpo
#   name        → Nombre del producto (entre 2 y 200 caracteres)
#   brand       → Marca del producto
#   category    → UNA de estas tres opciones exactas:
#                   maquillaje | piel | cuerpo
#   description → Descripción del producto (10–2000 caracteres)
#   image       → URL de la foto. Dos opciones:
#                   a) URL externa: https://example.com/foto.jpg
#                   b) Foto local:  products/mi-foto.jpg
#                      (coloca el archivo en backend/static/images/products/)
#   rating      → Calificación del 0.0 al 5.0 (decimal con punto)
#   reviews     → Número de reseñas (entero)
#
# IMPORTANTE: No borres la línea de encabezado (id,name,brand,...)
# ============================================================
id,name,brand,category,description,image,rating,reviews
c01,Bum Bum Cream,Sol de Janeiro,cuerpo,Crema con aceite de cupuacu y manteca de karite. Piel suave y aroma tropical irresistible.,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=600&q=80,4.8,24560
c02,Derma Oil 125ml,Bio-Oil,cuerpo,Aceite multifuncion PurCellin Oil para cicatrices y estrias con vitaminas A y E.,https://images.unsplash.com/photo-1599305090598-fe179d501227?w=600&q=80,4.6,18900
c03,Sugar Body Scrub,Tree Hut,cuerpo,Exfoliante corporal con aceite de argan y azucar de cana. Piel sedosa y suave.,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=600&q=80,4.7,32100
c04,Intensive Relief Lotion,Eucerin,cuerpo,Locion para piel muy seca con urea y ceramidas. Absorcion rapida sin residuo graso.,https://images.unsplash.com/photo-1599305090598-fe179d501227?w=600&q=80,4.5,9870
c05,Deep Moisture Body Wash,Dove,cuerpo,Jabon liquido con cuarto de crema hidratante. Piel suave y nutrida desde la primera ducha.,https://images.unsplash.com/photo-1570194065650-d99fb4bedf0a?w=600&q=80,4.4,42300
c06,The Body Lotion,Necessaire,cuerpo,Locion con niacinamida vitamina C y E. Sin fragancia artificial formula clinica.,https://images.unsplash.com/photo-1599305090598-fe179d501227?w=600&q=80,4.6,5430
c07,Hydro Boost Body Gel,Neutrogena,cuerpo,Gel corporal con acido hialuronico. Hidratacion intensa textura gel-agua ligera.,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=600&q=80,4.5,11200
c08,Cocoa Radiant Body Moisturizer,Jergens,cuerpo,Locion con manteca de cacao. Ilumina gradualmente el tono de la piel en 7 dias.,https://images.unsplash.com/photo-1599305090598-fe179d501227?w=600&q=80,4.3,15670
c09,Almond Shower Oil,L'Occitane,cuerpo,Aceite de ducha con leche de almendras dulces. Se transforma en espuma al contacto con agua.,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=600&q=80,4.7,7860
c10,Skin Food Original,Weleda,cuerpo,Crema nutritiva botanica con calendula y manzanilla. Para piel muy seca y areas rugosas.,https://images.unsplash.com/photo-1599305090598-fe179d501227?w=600&q=80,4.6,13450
c11,Soaking Solution Salts,Dr. Teal's,cuerpo,Sales de bano con eucalipto y magnesio. Relajan musculos y calman la piel en 20 minutos.,https://images.unsplash.com/photo-1576426863848-c21f53c60b19?w=600&q=80,4.5,21000
c12,Body Scrub,OUAI,cuerpo,Exfoliante con sal del Himalaya y manteca de karite. Fragancia St. Barths coco-almendra.,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=600&q=80,4.7,4210
c13,Resurrection Hand Balm,Aesop,cuerpo,Balsamo de manos con manteca de karite y aceite de almendras. Aroma herbal inconfundible.,https://images.unsplash.com/photo-1599305090598-fe179d501227?w=600&q=80,4.8,3120
c14,Fine Fragrance Mist,Bath & Body Works,cuerpo,Body mist de larga duracion en formato ligero perfecto para refrescar durante el dia.,https://images.unsplash.com/photo-1570194065650-d99fb4bedf0a?w=600&q=80,4.4,56700
c15,Atoderm Shower Oil,Bioderma,cuerpo,Aceite de ducha para piel seca y sensible. Limpia suavemente con textura seca.,https://images.unsplash.com/photo-1599305090598-fe179d501227?w=600&q=80,4.6,6780
c16,Ritual of Sakura Cream,Rituals,cuerpo,Crema con agua de jazmin sagrado y flor de cerezo japones. Hidratacion y aroma sublime.,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=600&q=80,4.7,9340
c17,Creme de Corps,Kiehl's,cuerpo,Crema clasica de Kiehls desde 1968 con lanolina y aceite de sesamo. Nutricion de lujo.,https://images.unsplash.com/photo-1599305090598-fe179d501227?w=600&q=80,4.7,11230
